File: ZIW-DE-09-09-11.xls, Approx. Row:  733, Section: "ORGANISMS  >  2.5 cm", Station: 0102, Taxa: 2002, Message: Non-numeric volume<1 - set to 1
File: ZIW-DE-09-09-2.xls, Approx. Row:  225, Section: "NON-MAJOR COPEPODA TAXA", Station: 0011, Taxa: 153, Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-2.xls, Approx. Row:  226, Section: "NON-MAJOR COPEPODA TAXA", Station: 0011, Taxa: , Message: Comment: Stomatopoda - 1
File: ZIW-DE-09-09-3.xls, Approx. Row:  225, Section: "NON-MAJOR COPEPODA TAXA", Station: 0020, Taxa: 153, Message: Comment: Copepoda: Augaptilidae - 1
File: ZIW-DE-09-09-3.xls, Approx. Row:  226, Section: "NON-MAJOR COPEPODA TAXA", Station: 0020, Taxa: , Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-3.xls, Approx. Row:  573, Section: "NON-MAJOR COPEPODA TAXA", Station: 0023, Taxa: , Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-3.xls, Approx. Row:  689, Section: "NON-MAJOR COPEPODA TAXA", Station: 0024, Taxa: , Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-4.xls, Approx. Row:  225, Section: "NON-MAJOR COPEPODA TAXA", Station: 0029, Taxa: , Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-4.xls, Approx. Row:  226, Section: "NON-MAJOR COPEPODA TAXA", Station: 0029, Taxa: , Message: Comment: Decapoda:Anomura - 2
File: ZIW-DE-09-09-4.xls, Approx. Row:  341, Section: "NON-MAJOR COPEPODA TAXA", Station: 0030, Taxa: 153, Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-4.xls, Approx. Row:  457, Section: "NON-MAJOR COPEPODA TAXA", Station: 0031, Taxa: , Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-4.xls, Approx. Row:  573, Section: "NON-MAJOR COPEPODA TAXA", Station: 0032, Taxa: 153, Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-4.xls, Approx. Row:  689, Section: "NON-MAJOR COPEPODA TAXA", Station: 0033, Taxa: 153, Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-4.xls, Approx. Row:  690, Section: "NON-MAJOR COPEPODA TAXA", Station: 0033, Taxa: , Message: Comment: Cyclopoida:Saphirina spp.-7;Copilia sp.-1:
File: ZIW-DE-09-09-4.xls, Approx. Row:  691, Section: "NON-MAJOR COPEPODA TAXA", Station: 0033, Taxa: , Message: Comment: Calanoida:Haloptilus spp.-3
File: ZIW-DE-09-09-4.xls, Approx. Row:  805, Section: "NON-MAJOR COPEPODA TAXA", Station: 0034, Taxa: 153, Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-5.xls, Approx. Row:  109, Section: "NON-MAJOR COPEPODA TAXA", Station: 0037, Taxa: , Message: Comment: Decapoda:Anomura-4
File: ZIW-DE-09-09-5.xls, Approx. Row:  225, Section: "NON-MAJOR COPEPODA TAXA", Station: 0039, Taxa: 153, Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-5.xls, Approx. Row:  226, Section: "NON-MAJOR COPEPODA TAXA", Station: 0039, Taxa: , Message: Comment: Cephalopoda-1
File: ZIW-DE-09-09-5.xls, Approx. Row:  227, Section: "NON-MAJOR COPEPODA TAXA", Station: 0039, Taxa: , Message: Comment: Calanoida:Pseudodiaptomus sp.-1
File: ZIW-DE-09-09-5.xls, Approx. Row:  573, Section: "NON-MAJOR COPEPODA TAXA", Station: 0043, Taxa: , Message: Comment: Decapoda:Anomura-10
File: ZIW-DE-09-09-5.xls, Approx. Row:  689, Section: "NON-MAJOR COPEPODA TAXA", Station: 0044, Taxa: , Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-5.xls, Approx. Row:  805, Section: "NON-MAJOR COPEPODA TAXA", Station: 0045, Taxa: , Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09-5.xls, Approx. Row:  921, Section: "NON-MAJOR COPEPODA TAXA", Station: 0046, Taxa: , Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09.xls, Approx. Row:  109, Section: "NON-MAJOR COPEPODA TAXA", Station: 0001, Taxa: , Message: Comment: Copepoda:Pseudodiaptomus spp.-7
File: ZIW-DE-09-09.xls, Approx. Row:  341, Section: "NON-MAJOR COPEPODA TAXA", Station: 0003, Taxa: , Message: Comment: Unidentified zooplankton:
File: ZIW-DE-09-09.xls, Approx. Row:  342, Section: "NON-MAJOR COPEPODA TAXA", Station: 0003, Taxa: , Message: Comment: Stomatopoda - 1
File: , Approx. Row:  0, Section: Process Summary, Station: , Taxa: , Message: **** WARNINGS ONLY - PLEASE REVIEW ****
